geolocation,name,nametype,:@computed_region_nnqa_25f4,fall,year,recclass,reclat,reclong,id,mass,:@computed_region_cbhk_fwbd
"{'type': 'Point', 'coordinates': [6.08333, 50.775]}",Aachen,Valid,,Fell,1880-01-01T00:00:00.000,L5,50.775000,6.083330,1,21,
"{'type': 'Point', 'coordinates': [10.23333, 56.18333]}",Aarhus,Valid,,Fell,1951-01-01T00:00:00.000,H6,56.183330,10.233330,2,720,
"{'type': 'Point', 'coordinates': [-113, 54.21667]}",Abee,Valid,,Fell,1952-01-01T00:00:00.000,EH4,54.216670,-113.000000,6,107000,
"{'type': 'Point', 'coordinates': [-99.9, 16.88333]}",Acapulco,Valid,,Fell,1976-01-01T00:00:00.000,Acapulcoite,16.883330,-99.900000,10,1914,
"{'type': 'Point', 'coordinates': [-64.95, -33.16667]}",Achiras,Valid,,Fell,1902-01-01T00:00:00.000,L6,-33.166670,-64.950000,370,780,
"{'type': 'Point', 'coordinates': [71.8, 32.1]}",Adhi Kot,Valid,,Fell,1919-01-01T00:00:00.000,EH4,32.100000,71.800000,379,4239,
"{'type': 'Point', 'coordinates': [95.16667, 44.83333]}",Adzhi-Bogdo (stone),Valid,,Fell,1949-01-01T00:00:00.000,LL3-6,44.833330,95.166670,390,910,
"{'type': 'Point', 'coordinates': [0.61667, 44.21667]}",Agen,Valid,,Fell,1814-01-01T00:00:00.000,H5,44.216670,0.616670,392,30000,
"{'type': 'Point', 'coordinates': [-65.23333, -31.6]}",Aguada,Valid,,Fell,1930-01-01T00:00:00.000,L6,-31.600000,-65.233330,398,1620,
"{'type': 'Point', 'coordinates': [-64.55, -30.86667]}",Aguila Blanca,Valid,,Fell,1920-01-01T00:00:00.000,L,-30.866670,-64.550000,417,1440,
"{'type': 'Point', 'coordinates': [-9.57028, 16.39806]}",Aioun el Atrouss,Valid,,Fell,1974-01-01T00:00:00.000,Diogenite-pm,16.398060,-9.570280,423,1000,
"{'type': 'Point', 'coordinates': [8.38333, 19.08333]}",Aïr,Valid,,Fell,1925-01-01T00:00:00.000,L6,19.083330,8.383330,424,24000,
"{'type': 'Point', 'coordinates': [2.33333, 50.66667]}",Aire-sur-la-Lys,Valid,,Fell,1769-01-01T00:00:00.000,Unknown,50.666670,2.333330,425,,
"{'type': 'Point', 'coordinates': [35.05, 29.51667]}",Akaba,Valid,,Fell,1949-01-01T00:00:00.000,L6,29.516670,35.050000,426,779,
"{'type': 'Point', 'coordinates': [77.95, 29.71667]}",Akbarpur,Valid,,Fell,1838-01-01T00:00:00.000,H4,29.716670,77.950000,427,1800,
"{'type': 'Point', 'coordinates': [8.43333, 8.91667]}",Akwanga,Valid,,Fell,1959-01-01T00:00:00.000,H,8.916670,8.433330,432,3000,
"{'type': 'Point', 'coordinates': [42.81667, 39.91667]}",Akyumak,Valid,,Fell,1981-01-01T00:00:00.000,"Iron, IVA",39.916670,42.816670,433,50000,
"{'type': 'Point', 'coordinates': [39.51667, 24.41667]}",Al Rais,Valid,,Fell,1957-01-01T00:00:00.000,CR2-an,24.416670,39.516670,446,160,
"{'type': 'Point', 'coordinates': [28.96, 13.66033]}",Al Zarnkh,Valid,,Fell,2001-01-01T00:00:00.000,LL5,13.660330,28.960000,447,700,
"{'type': 'Point', 'coordinates': [4.08333, 44.11667]}",Alais,Valid,,Fell,1806-01-01T00:00:00.000,CI1,44.116670,4.083330,448,6000,
"{'type': 'Point', 'coordinates': [11.01667, 44.65]}",Albareto,Valid,,Fell,1766-01-01T00:00:00.000,L/LL4,44.650000,11.016670,453,2000,
"{'type': 'Point', 'coordinates': [22.66667, 2]}",Alberta,Valid,,Fell,1949-01-01T00:00:00.000,L,2.000000,22.666670,454,625,
"{'type': 'Point', 'coordinates': [6.01533, 45.82133]}",Alby sur Chéran,Valid,,Fell,2002-01-01T00:00:00.000,Eucrite-mmict,45.821330,6.015330,458,252,
"{'type': 'Point', 'coordinates': [-1.78333, 51.78333]}",Aldsworth,Valid,,Fell,1835-01-01T00:00:00.000,LL5,51.783330,-1.783330,461,700,
"{'type': 'Point', 'coordinates': [37.13333, 36.23333]}",Aleppo,Valid,,Fell,1873-01-01T00:00:00.000,L6,36.233330,37.133330,462,3200,
"{'type': 'Point', 'coordinates': [8.75, 44.88333]}",Alessandria,Valid,,Fell,1860-01-01T00:00:00.000,H5,44.883330,8.750000,463,908,
"{'type': 'Point', 'coordinates': [31.81667, 50.95]}",Alexandrovsky,Valid,,Fell,1900-01-01T00:00:00.000,H4,50.950000,31.816670,465,9251,
"{'type': 'Point', 'coordinates': [10.15, 45.26667]}",Alfianello,Valid,,Fell,1883-01-01T00:00:00.000,L6,45.266670,10.150000,466,228000,
"{'type': 'Point', 'coordinates': [-85.88333, 42.53333]}",Allegan,Valid,429,Fell,1899-01-01T00:00:00.000,H5,42.533330,-85.883330,2276,32000,50
"{'type': 'Point', 'coordinates': [-105.31667, 26.96667]}",Allende,Valid,,Fell,1969-01-01T00:00:00.000,CV3,26.966670,-105.316670,2278,2000000,
"{'type': 'Point', 'coordinates': [32.41275, 20.74575]}",Almahata Sitta,Valid,,Fell,2008-01-01T00:00:00.000,Ureilite-an,20.745750,32.412750,48915,3950,
"{'type': 'Point', 'coordinates': [44.21556, 35.27333]}",Alta'ameem,Valid,,Fell,1977-01-01T00:00:00.000,LL5,35.273330,44.215560,2284,6000,
"{'type': 'Point', 'coordinates': [78.25, 27.66667]}",Ambapur Nagla,Valid,,Fell,1895-01-01T00:00:00.000,H5,27.666670,78.250000,2290,6400,
"{'type': 'Point', 'coordinates': [85.56667, 26.58333]}",Andhara,Valid,,Fell,1880-01-01T00:00:00.000,Stone-uncl,26.583330,85.566670,2294,2700,
"{'type': 'Point', 'coordinates': [-70.75, 44.61667]}",Andover,Valid,1723,Fell,1898-01-01T00:00:00.000,L6,44.616670,-70.750000,2295,3200,49
"{'type': 'Point', 'coordinates': [37.5, 48.7]}",Andreevka,Valid,,Fell,1969-01-01T00:00:00.000,L3,48.700000,37.500000,2296,600,
"{'type': 'Point', 'coordinates': [76.86667, 20.88333]}",Andura,Valid,,Fell,1939-01-01T00:00:00.000,H6,20.883330,76.866670,2298,17900,
"{'type': 'Point', 'coordinates': [0, 0]}",Northwest Africa 5815,Valid,,Found,,L5,0.000000,0.000000,50693,256.8,
"{'type': 'Point', 'coordinates': [-0.55, 47.46667]}",Angers,Valid,,Fell,1822-01-01T00:00:00.000,L6,47.466670,-0.550000,2301,,
"{'type': 'Point', 'coordinates': [-44.31667, -22.96667]}",Angra dos Reis (stone),Valid,,Fell,1869-01-01T00:00:00.000,Angrite,-22.966670,-44.316670,2302,1500,
"{'type': 'Point', 'coordinates': [39.71667, 9.53333]}",Ankober,Valid,,Fell,1942-01-01T00:00:00.000,H4,9.533330,39.716670,2304,6500,
"{'type': 'Point', 'coordinates': [105.18333, 25.15]}",Anlong,Valid,,Fell,1971-01-01T00:00:00.000,H5,25.150000,105.183330,2305,2500,
"{'type': 'Point', 'coordinates': [140.78556, 40.81056]}",Aomori,Valid,,Fell,1984-01-01T00:00:00.000,L6,40.810560,140.785560,2313,320,
"{'type': 'Point', 'coordinates': [-2.71667, 53.58333]}",Appley Bridge,Valid,,Fell,1914-01-01T00:00:00.000,LL6,53.583330,-2.716670,2318,15000,
"{'type': 'Point', 'coordinates': [5.38333, 43.86667]}",Apt,Valid,,Fell,1803-01-01T00:00:00.000,L6,43.866670,5.383330,2320,3200,
"{'type': 'Point', 'coordinates': [-66, -33]}",Arbol Solo,Valid,,Fell,1954-01-01T00:00:00.000,H5,-33.000000,-66.000000,2325,810,
"{'type': 'Point', 'coordinates': [-94.3, 38.5]}",Archie,Valid,2697,Fell,1932-01-01T00:00:00.000,H6,38.500000,-94.300000,2329,5070,18
"{'type': 'Point', 'coordinates': [-60.66667, -31.41667]}",Arroyo Aguiar,Valid,,Fell,1950-01-01T00:00:00.000,H5,-31.416670,-60.666670,2340,7450,
"{'type': 'Point', 'coordinates': [9.03333, 42.45]}",Asco,Valid,,Fell,1805-01-01T00:00:00.000,H6,42.450000,9.033330,2345,41,
"{'type': 'Point', 'coordinates': [-97.01, 31.805]}",Ash Creek,Valid,774,Fell,2009-01-01T00:00:00.000,L6,31.805000,-97.010000,48954,9500,23
"{'type': 'Point', 'coordinates': [0.3, 52.05]}",Ashdon,Valid,,Fell,1923-01-01T00:00:00.000,L6,52.050000,0.300000,2346,1300,
"{'type': 'Point', 'coordinates': [12.55, 43.03333]}",Assisi,Valid,,Fell,1886-01-01T00:00:00.000,H5,43.033330,12.550000,2353,2000,
"{'type': 'Point', 'coordinates': [80.625, 25.25417]}",Atarra,Valid,,Fell,1920-01-01T00:00:00.000,L4,25.254170,80.625000,4883,1280,
"{'type': 'Point', 'coordinates': [-103.66667, 20.06667]}",Atemajac,Valid,,Fell,1896-01-01T00:00:00.000,L6,20.066670,-103.666670,4884,94.2,
"{'type': 'Point', 'coordinates': [-87, 34.75]}",Athens,Valid,3134,Fell,1933-01-01T00:00:00.000,LL6,34.750000,-87.000000,4885,265,29
"{'type': 'Point', 'coordinates': [-96.15, 34.31667]}",Atoka,Valid,602,Fell,1945-01-01T00:00:00.000,L6,34.316670,-96.150000,4888,1384.2,20
"{'type': 'Point', 'coordinates': [5.16667, 44.38333]}",Aubres,Valid,,Fell,1836-01-01T00:00:00.000,Aubrite,44.383330,5.166670,4893,800,
"{'type': 'Point', 'coordinates': [3.66667, 36.16667]}",Aumale,Valid,,Fell,1865-01-01T00:00:00.000,L6,36.166670,3.666670,4899,50000,
"{'type': 'Point', 'coordinates': [3.23333, 44.33333]}",Aumieres,Valid,,Fell,1842-01-01T00:00:00.000,L6,44.333330,3.233330,4900,2000,
"{'type': 'Point', 'coordinates': [0.58333, 43.08333]}",Ausson,Valid,,Fell,1858-01-01T00:00:00.000,L5,43.083330,0.583330,4903,50000,
"{'type': 'Point', 'coordinates': [-49.95083, -21.46028]}",Avanhandava,Valid,,Fell,1952-01-01T00:00:00.000,H4,-21.460280,-49.950830,4905,9330,
"{'type': 'Point', 'coordinates': [13.5, 46]}",Avce,Valid,,Fell,1908-01-01T00:00:00.000,"Iron, IIAB",46.000000,13.500000,4906,1230,
"{'type': 'Point', 'coordinates': [-103.5, 25]}",Avilez,Valid,,Fell,1855-01-01T00:00:00.000,H,25.000000,-103.500000,4907,146,
"{'type': 'Point', 'coordinates': [32.83333, 2.71667]}",Awere,Valid,,Fell,1968-01-01T00:00:00.000,L4,2.716670,32.833330,4910,134,
"{'type': 'Point', 'coordinates': [-108, 36.8]}",Aztec,Valid,1989,Fell,1938-01-01T00:00:00.000,L6,36.800000,-108.000000,4913,2830,11
"{'type': 'Point', 'coordinates': [38, 48.6]}",Bachmut,Valid,,Fell,1814-01-01T00:00:00.000,L6,48.600000,38.000000,4917,18000,
"{'type': 'Point', 'coordinates': [78.5, 28.48333]}",Bahjoi,Valid,,Fell,1934-01-01T00:00:00.000,"Iron, IAB-sLL",28.483330,78.500000,4922,10322,
"{'type': 'Point', 'coordinates': [-82.48333, 35.96667]}",Bald Mountain,Valid,2373,Fell,1929-01-01T00:00:00.000,L4,35.966670,-82.483330,4925,3700,37
"{'type': 'Point', 'coordinates': [-88.66667, 34.5]}",Baldwyn,Valid,495,Fell,1922-01-01T00:00:00.000,L6,34.500000,-88.666670,4926,345,32
"{'type': 'Point', 'coordinates': [16.38333, 5.38333]}",Bali,Valid,,Fell,1907-01-01T00:00:00.000,CV3,5.383330,16.383330,4928,1000,
"{'type': 'Point', 'coordinates': [101.18333, 16.66667]}",Ban Rong Du,Valid,,Fell,1993-01-01T00:00:00.000,"Iron, ungrouped",16.666670,101.183330,4934,16700,
"{'type': 'Point', 'coordinates': [107.6, -6.91667]}",Bandong,Valid,,Fell,1871-01-01T00:00:00.000,LL6,-6.916670,107.600000,4935,11500,
"{'type': 'Point', 'coordinates': [76.33333, 27.7]}",Bansur,Valid,,Fell,1892-01-01T00:00:00.000,L6,27.700000,76.333330,4936,15000,
"{'type': 'Point', 'coordinates': [78.2, 30.4]}",Banswal,Valid,,Fell,1913-01-01T00:00:00.000,L5,30.400000,78.200000,4937,14,
"{'type': 'Point', 'coordinates': [106, -6.33333]}",Banten,Valid,,Fell,1933-01-01T00:00:00.000,CM2,-6.333330,106.000000,4938,629,
"{'type': 'Point', 'coordinates': [-0.05, 43.95]}",Barbotan,Valid,,Fell,1790-01-01T00:00:00.000,H5,43.950000,-0.050000,4942,6400,
"{'type': 'Point', 'coordinates': [2.16667, 41.36667]}",Barcelona (stone),Valid,,Fell,1704-01-01T00:00:00.000,OC,41.366670,2.166670,4944,,
"{'type': 'Point', 'coordinates': [-2.5, 42.38333]}",Barea,Valid,,Fell,1842-01-01T00:00:00.000,Mesosiderite-A1,42.383330,-2.500000,4946,3200,
"{'type': 'Point', 'coordinates': [84.08333, 52.73333]}",Barnaul,Valid,,Fell,1904-01-01T00:00:00.000,H5,52.733330,84.083330,4947,23.2,
"{'type': 'Point', 'coordinates': [9.1, 52]}",Barntrup,Valid,,Fell,1886-01-01T00:00:00.000,LL4,52.000000,9.100000,4948,17,
"{'type': 'Point', 'coordinates': [76.8, 31.61667]}",Baroti,Valid,,Fell,1910-01-01T00:00:00.000,L6,31.616670,76.800000,4949,4500,
"{'type': 'Point', 'coordinates': [-1.33972, 52.56528]}",Barwell,Valid,,Fell,1965-01-01T00:00:00.000,L5,52.565280,-1.339720,4954,44000,
"{'type': 'Point', 'coordinates': [-5.9, 15.78333]}",Bassikounou,Valid,,Fell,2006-01-01T00:00:00.000,H5,15.783330,-5.900000,44876,29560,
"{'type': 'Point', 'coordinates': [20.93583, 52.03333]}",Baszkówka,Valid,,Fell,1994-01-01T00:00:00.000,L5,52.033330,20.935830,4957,15500,
"{'type': 'Point', 'coordinates': [-98.31667, 45.41667]}",Bath,Valid,662,Fell,1892-01-01T00:00:00.000,H4,45.416670,-98.316670,4974,21000,21
"{'type': 'Point', 'coordinates': [-83.75, 38.25]}",Bath Furnace,Valid,1921,Fell,1902-01-01T00:00:00.000,L6,38.250000,-83.750000,4975,86000,36
"{'type': 'Point', 'coordinates': [-117.18913, 40.66813]}",Battle Mountain,Valid,2397,Fell,2012-01-01T00:00:00.000,L6,40.668130,-117.189130,56133,2900,10
"{'type': 'Point', 'coordinates': [-0.18333, 11.08333]}",Bawku,Valid,,Fell,1989-01-01T00:00:00.000,LL5,11.083330,-0.183330,4976,1557,
"{'type': 'Point', 'coordinates': [-93.5, 36.75]}",Baxter,Valid,2216,Fell,1916-01-01T00:00:00.000,L6,36.750000,-93.500000,4977,611,18
"{'type': 'Point', 'coordinates': [-101.2, 39.8]}",Beardsley,Valid,1285,Fell,1929-01-01T00:00:00.000,H5,39.800000,-101.200000,4984,16000,17
"{'type': 'Point', 'coordinates': [-117.33333, 51.16667]}",Beaver Creek,Valid,,Fell,1893-01-01T00:00:00.000,H5,51.166670,-117.333330,4986,14000,
"{'type': 'Point', 'coordinates': [-4.1, 53.01667]}",Beddgelert,Valid,,Fell,1949-01-01T00:00:00.000,H5,53.016670,-4.100000,4993,794,
"{'type': 'Point', 'coordinates': [-96.46667, 33.6]}",Bells,Valid,1978,Fell,1961-01-01T00:00:00.000,C2-ung,33.600000,-96.466670,5005,375,23
"{'type': 'Point', 'coordinates': [-64.86667, -32.33333]}",Belville,Valid,,Fell,1937-01-01T00:00:00.000,OC,-32.333330,-64.866670,5009,,
"{'type': 'Point', 'coordinates': [82.91667, 25.36667]}",Benares (a),Valid,,Fell,1798-01-01T00:00:00.000,LL4,25.366670,82.916670,5011,3700,
"{'type': 'Point', 'coordinates': [-8.15, 32.25]}",Benguerir,Valid,,Fell,2004-01-01T00:00:00.000,LL6,32.250000,-8.150000,30443,25000,
"{'type': 'Point', 'coordinates': [10.8, 32.86667]}",Beni M'hira,Valid,,Fell,2001-01-01T00:00:00.000,L6,32.866670,10.800000,5018,19000,
"{'type': 'Point', 'coordinates': [-89.15, 39.08333]}",Benld,Valid,1869,Fell,1938-01-01T00:00:00.000,H6,39.083330,-89.150000,5021,1770.5,34
"{'type': 'Point', 'coordinates': [28.41667, -26.16667]}",Benoni,Valid,,Fell,1943-01-01T00:00:00.000,H6,-26.166670,28.416670,5023,3880,
"{'type': 'Point', 'coordinates': [-7, 30]}",Bensour,Valid,,Fell,2002-01-01T00:00:00.000,LL6,30.000000,-7.000000,5024,45000,
"{'type': 'Point', 'coordinates': [-67.55, 45.95]}",Benton,Valid,,Fell,1949-01-01T00:00:00.000,LL6,45.950000,-67.550000,5026,2840,
"{'type': 'Point', 'coordinates': [-58.32833, -31.91]}",Berduc,Valid,,Fell,2008-01-01T00:00:00.000,L6,-31.910000,-58.328330,48975,270,
"{'type': 'Point', 'coordinates': [-3.65, 11.65]}",Béréba,Valid,,Fell,1924-01-01T00:00:00.000,Eucrite-mmict,11.650000,-3.650000,5028,18000,
"{'type': 'Point', 'coordinates': [-3.8, 41.68333]}",Berlanguillas,Valid,,Fell,1811-01-01T00:00:00.000,L6,41.683330,-3.800000,5029,1440,
"{'type': 'Point', 'coordinates': [-105.02325, 40.30583]}",Berthoud,Valid,1072,Fell,2004-01-01T00:00:00.000,Eucrite-mmict,40.305830,-105.023250,47355,960,9
"{'type': 'Point', 'coordinates': [-73.83333, 42.53333]}",Bethlehem,Valid,2030,Fell,1859-01-01T00:00:00.000,H,42.533330,-73.833330,5032,13.9,47
"{'type': 'Point', 'coordinates': [-0.23333, 43.21667]}",Beuste,Valid,,Fell,1859-01-01T00:00:00.000,L5,43.216670,-0.233330,5034,2000,
"{'type': 'Point', 'coordinates': [35.5, 33.88333]}",Beyrout,Valid,,Fell,1921-01-01T00:00:00.000,LL3.8,33.883330,35.500000,5035,1100,
"{'type': 'Point', 'coordinates': [74.83333, 20.88333]}",Bhagur,Valid,,Fell,1877-01-01T00:00:00.000,L6,20.883330,74.833330,5037,18,
"{'type': 'Point', 'coordinates': [73.11528, 26.50833]}",Bhawad,Valid,,Fell,2002-01-01T00:00:00.000,LL6,26.508330,73.115280,36591,678,
"{'type': 'Point', 'coordinates': [71.46667, 20.83333]}",Bherai,Valid,,Fell,1893-01-01T00:00:00.000,L6,20.833330,71.466670,5039,100,
"{'type': 'Point', 'coordinates': [90.65, 22.68333]}",Bhola,Valid,,Fell,1940-01-01T00:00:00.000,LL3-6,22.683330,90.650000,5040,1047,
"{'type': 'Point', 'coordinates': [86.9, 22.08333]}",Bholghati,Valid,,Fell,1905-01-01T00:00:00.000,Howardite,22.083330,86.900000,5041,2500,
"{'type': 'Point', 'coordinates': [23.2, 53.1]}",Bialystok,Valid,,Fell,1827-01-01T00:00:00.000,Eucrite-pmict,53.100000,23.200000,5042,4000,
"{'type': 'Point', 'coordinates': [27.16667, 50.13333]}",Bielokrynitschie,Valid,,Fell,1887-01-01T00:00:00.000,H4,50.133330,27.166670,5043,1900,
"{'type': 'Point', 'coordinates': [-0.08333, 12.45]}",Bilanga,Valid,,Fell,1999-01-01T00:00:00.000,Diogenite,12.450000,-0.083330,5045,25000,
"{'type': 'Point', 'coordinates': [115.67639, -33.15639]}",Binningup,Valid,,Fell,1984-01-01T00:00:00.000,H5,-33.156390,115.676390,5051,488.1,
"{'type': 'Point', 'coordinates': [5.3, 13.76667]}",Birni N'konni,Valid,,Fell,1923-01-01T00:00:00.000,H4,13.766670,5.300000,5056,560,
"{'type': 'Point', 'coordinates': [-80.28333, 34.16667]}",Bishopville,Valid,657,Fell,1843-01-01T00:00:00.000,Aubrite,34.166670,-80.283330,5059,6000,33
"{'type': 'Point', 'coordinates': [82.6, 25.38333]}",Bishunpur,Valid,,Fell,1895-01-01T00:00:00.000,LL3.15,25.383330,82.600000,5060,1039,
"{'type': 'Point', 'coordinates': [30.16667, 49.78333]}",Bjelaja Zerkov,Valid,,Fell,1796-01-01T00:00:00.000,H6,49.783330,30.166670,5063,1850,
"{'type': 'Point', 'coordinates': [25.8, 60.4]}",Bjurböle,Valid,,Fell,1899-01-01T00:00:00.000,L/LL4,60.400000,25.800000,5064,330000,
"{'type': 'Point', 'coordinates': [-78.08333, 40.91667]}",Black Moshannan Park,Valid,2495,Fell,1941-01-01T00:00:00.000,L5,40.916670,-78.083330,5065,705,48
"{'type': 'Point', 'coordinates': [-97.33333, 36.83333]}",Blackwell,Valid,2164,Fell,1906-01-01T00:00:00.000,L5,36.833330,-97.333330,5068,2381,20
"{'type': 'Point', 'coordinates': [-98.83333, 31.83333]}",Blanket,Valid,3063,Fell,1909-01-01T00:00:00.000,L6,31.833330,-98.833330,5071,5100,23
"{'type': 'Point', 'coordinates': [16.63333, 49.36667]}",Blansko,Valid,,Fell,1833-01-01T00:00:00.000,H6,49.366670,16.633330,5072,470,
"{'type': 'Point', 'coordinates': [-89.00417, 40.48]}",Bloomington,Valid,1795,Fell,1938-01-01T00:00:00.000,LL6,40.480000,-89.004170,5076,67.8,34
"{'type': 'Point', 'coordinates': [115.83333, 33.83333]}",Bo Xian,Valid,,Fell,1977-01-01T00:00:00.000,LL3.9,33.833330,115.833330,5090,7500,
"{'type': 'Point', 'coordinates': [-102, 23]}",Bocas,Valid,,Fell,1804-01-01T00:00:00.000,L6,23.000000,-102.000000,5093,56,
"{'type': 'Point', 'coordinates': [0.7, 12.5]}",Bogou,Valid,,Fell,1962-01-01T00:00:00.000,"Iron, IAB-MG",12.500000,0.700000,5097,8800,
"{'type': 'Point', 'coordinates': [131.63333, 44.55]}",Boguslavka,Valid,,Fell,1916-01-01T00:00:00.000,"Iron, IIAB",44.550000,131.633330,5098,256000,
"{'type': 'Point', 'coordinates': [10.05, 44.86667]}",Borgo San Donino,Valid,,Fell,1808-01-01T00:00:00.000,LL6,44.866670,10.050000,5110,1676,
"{'type': 'Point', 'coordinates': [78.03333, 21.95]}",Bori,Valid,,Fell,1894-01-01T00:00:00.000,L6,21.950000,78.033330,5111,8600,
"{'type': 'Point', 'coordinates': [52.48333, 54.23333]}",Boriskino,Valid,,Fell,1930-01-01T00:00:00.000,CM2,54.233330,52.483330,5112,1342,
"{'type': 'Point', 'coordinates': [24.28333, 48.15]}",Borkut,Valid,,Fell,1852-01-01T00:00:00.000,L5,48.150000,24.283330,5113,7000,
"{'type': 'Point', 'coordinates': [35.86667, 55.46667]}",Borodino,Valid,,Fell,1812-01-01T00:00:00.000,H5,55.466670,35.866670,5114,500,
"{'type': 'Point', 'coordinates': [33.88333, 51.33333]}",Botschetschki,Valid,,Fell,1823-01-01T00:00:00.000,L4,51.333330,33.883330,5117,614,
"{'type': 'Point', 'coordinates': [-11.3715, 17.71067]}",Boumdeid (2003),Valid,,Fell,2003-01-01T00:00:00.000,L6,17.710670,-11.371500,57168,190,
"{'type': 'Point', 'coordinates': [-11.34133, 17.17493]}",Boumdeid (2011),Valid,,Fell,2011-01-01T00:00:00.000,L6,17.174930,-11.341330,57167,3599,
"{'type': 'Point', 'coordinates': [-6.33333, 54.56667]}",Bovedy,Valid,,Fell,1969-01-01T00:00:00.000,L3,54.566670,-6.333330,5121,5460,
"{'type': 'Point', 'coordinates': [-80.08333, 40.5]}",Bradford Woods,Valid,2455,Fell,1886-01-01T00:00:00.000,L,40.500000,-80.083330,5128,762,48
"{'type': 'Point', 'coordinates': [16.3, 50.6]}",Braunau,Valid,,Fell,1847-01-01T00:00:00.000,"Iron, IIAB",50.600000,16.300000,5133,39000,
"{'type': 'Point', 'coordinates': [8.18361, 50.66694]}",Breitscheid,Valid,,Fell,1956-01-01T00:00:00.000,H5,50.666940,8.183610,5134,1500,
"{'type': 'Point', 'coordinates': [9.1, 53.4]}",Bremervörde,Valid,,Fell,1855-01-01T00:00:00.000,H/L3.9,53.400000,9.100000,5135,7250,
"{'type': 'Point', 'coordinates': [59.31667, 52.13333]}",Brient,Valid,,Fell,1933-01-01T00:00:00.000,Eucrite-pmict,52.133330,59.316670,5140,219,
"{'type': 'Point', 'coordinates': [-112.88333, 53.9]}",Bruderheim,Valid,,Fell,1960-01-01T00:00:00.000,L6,53.900000,-112.883330,5156,303000,
"{'type': 'Point', 'coordinates': [64.60035, 39.77978]}",Bukhara,Valid,,Fell,2001-01-01T00:00:00.000,CV3,39.779780,64.600350,30448,5300,
,Bulls Run,Valid,,Fell,1964-01-01T00:00:00.000,Iron?,,,5163,2250,
"{'type': 'Point', 'coordinates': [129.19, -31.35]}",Bunburra Rockhole,Valid,,Fell,2007-01-01T00:00:00.000,Eucrite,-31.350000,129.190000,48653,324,
"{'type': 'Point', 'coordinates': [9.58333, 10.01667]}",Bununu,Valid,,Fell,1942-01-01T00:00:00.000,Howardite,10.016670,9.583330,5165,357,
"{'type': 'Point', 'coordinates': [48, 5]}",Bur-Gheluai,Valid,,Fell,1919-01-01T00:00:00.000,H5,5.000000,48.000000,5169,120000,
"{'type': 'Point', 'coordinates': [-82.23722, 37.62194]}",Burnwell,Valid,256,Fell,1990-01-01T00:00:00.000,H4-an,37.621940,-82.237220,5175,1504,36
"{'type': 'Point', 'coordinates': [29.23333, 40.2]}",Bursa,Valid,,Fell,1946-01-01T00:00:00.000,L6,40.200000,29.233330,5177,25000,
"{'type': 'Point', 'coordinates': [25.78333, 46.45]}",Buschhof,Valid,,Fell,1863-01-01T00:00:00.000,L6,46.450000,25.783330,5178,5000,
"{'type': 'Point', 'coordinates': [82.83333, 26.78333]}",Bustee,Valid,,Fell,1852-01-01T00:00:00.000,Aubrite,26.783330,82.833330,5181,1500,
"{'type': 'Point', 'coordinates': [84.08333, 27.08333]}",Butsura,Valid,,Fell,1861-01-01T00:00:00.000,H6,27.083330,84.083330,5183,29000,
"{'type': 'Point', 'coordinates': [-109.84817, 52.996]}",Buzzard Coulee,Valid,,Fell,2008-01-01T00:00:00.000,H4,52.996000,-109.848170,48654,41000,
"{'type': 'Point', 'coordinates': [-1.16667, 37.98333]}",Cabezo de Mayo,Valid,,Fell,1870-01-01T00:00:00.000,L/LL6,37.983330,-1.166670,5185,25000,
"{'type': 'Point', 'coordinates': [-93.5, 35.5]}",Cabin Creek,Valid,1029,Fell,1886-01-01T00:00:00.000,"Iron, IIIAB",35.500000,-93.500000,5186,48500,15
"{'type': 'Point', 'coordinates': [20.33333, 43.83889]}",Cacak,Valid,,Fell,1919-01-01T00:00:00.000,OC,43.838890,20.333330,5187,212,
"{'type': 'Point', 'coordinates': [-76.51, 3.405]}",Cali,Valid,,Fell,2007-01-01T00:00:00.000,H/L4,3.405000,-76.510000,45976,478,
"{'type': 'Point', 'coordinates': [122.33333, 11.75]}",Calivo,Valid,,Fell,1916-01-01T00:00:00.000,Stone-uncl,11.750000,122.333330,5200,2400,
"{'type': 'Point', 'coordinates': [-40.16667, -7.03333]}",Campos Sales,Valid,,Fell,1991-01-01T00:00:00.000,L5,-7.033330,-40.166670,5249,23680,
"{'type': 'Point', 'coordinates': [26.6, 39.8]}",Çanakkale,Valid,,Fell,1964-01-01T00:00:00.000,L6,39.800000,26.600000,5250,4000,
"{'type': 'Point', 'coordinates': [1.66667, 41.25]}",Cañellas,Valid,,Fell,1861-01-01T00:00:00.000,H4,41.250000,1.666670,5251,945,
"{'type': 'Point', 'coordinates': [-5.15, 43.38333]}",Cangas de Onis,Valid,,Fell,1866-01-01T00:00:00.000,H5,43.383330,-5.150000,5252,34000,
"{'type': 'Point', 'coordinates': [-105.24139, 38.47028]}",Canon City,Valid,1448,Fell,1973-01-01T00:00:00.000,H6,38.470280,-105.241390,5253,1400,9
"{'type': 'Point', 'coordinates': [-89.58333, 37.26667]}",Cape Girardeau,Valid,2695,Fell,1846-01-01T00:00:00.000,H6,37.266670,-89.583330,5260,2300,18
"{'type': 'Point', 'coordinates': [-64.55, -30.88333]}",Capilla del Monte,Valid,,Fell,1934-01-01T00:00:00.000,H6,-30.883330,-64.550000,5264,750,
